dt,feels_like,humidity,pressure,sunrise,sunset,temp,uvi,weather_id,wind_gust,wind_speed,rain_1h,snow_1h
"2025-02-19 22:25:54",10.72,92,1002,"2025-02-19 07:34:55","2025-02-19 17:43:07",11.15,0,803,15.95,9.26,0,0
"2025-02-20 23:07:52",11.97,75,1003,"2025-02-20 07:32:46","2025-02-20 17:45:04",12.69,0,802,0,7.72,0,0
"2025-02-23 19:08:11",10.88,82,1000,"2025-02-23 07:26:13","2025-02-23 17:50:53",11.53,0,801,14.92,8.75,0,0
