number,address,banking,bike_stands,name,status,position_lat,position_lng
76,"Market Street South",0,38,"MARKET STREET SOUTH",OPEN,53.3423,-6.28766
77,"Wolfe Tone Street",0,29,"WOLFE TONE STREET",OPEN,53.3489,-6.26746
78,"Mater Hospital",0,40,"MATER HOSPITAL",OPEN,53.36,-6.26483
79,"Eccles Street East",0,27,"ECCLES STREET EAST",OPEN,53.3581,-6.2656
80,"St James Hospital (Luas)",0,40,"ST JAMES HOSPITAL (LUAS)",OPEN,53.3414,-6.29295
82,"Mount Brown",0,22,"MOUNT BROWN",OPEN,53.3416,-6.29719
83,"Emmet Road",0,40,"EMMET ROAD",OPEN,53.3407,-6.30819
84,"Brookfield Road",0,30,"BROOKFIELD ROAD",OPEN,53.339,-6.30022
85,"Rothe Abbey",0,35,"ROTHE ABBEY",OPEN,53.3388,-6.30395
86,"Parkgate Street",0,38,"PARKGATE STREET",OPEN,53.348,-6.2918
87,"Collins Barracks Museum",0,38,"COLLINS BARRACKS MUSEUM",OPEN,53.3475,-6.28525
88,"Blackhall Place",0,30,"BLACKHALL PLACE",OPEN,53.3488,-6.28164
89,"Fitzwilliam Square East",0,40,"FITZWILLIAM SQUARE EAST",OPEN,53.3352,-6.2509
90,"Benson Street",0,40,"BENSON STREET",OPEN,53.3442,-6.23345
91,"South Dock Road",0,30,"SOUTH DOCK ROAD",OPEN,53.3418,-6.23129
92,"Heuston Bridge (North)",0,40,"HEUSTON BRIDGE (NORTH)",OPEN,53.3478,-6.29243
93,"Heuston Station (Central)",0,40,"HEUSTON STATION (CENTRAL)",OPEN,53.3466,-6.29692
94,"Heuston Station (Car Park)",0,40,"HEUSTON STATION (CAR PARK)",OPEN,53.347,-6.2978
95,"Royal Hospital",0,40,"ROYAL HOSPITAL",OPEN,53.3439,-6.29706
96,"Kilmainham Lane",0,30,"KILMAINHAM LANE",OPEN,53.3418,-6.30509
97,"Kilmainham Gaol",0,40,"KILMAINHAM GAOL",OPEN,53.3421,-6.31002
98,"Frederick Street South",0,40,"FREDERICK STREET SOUTH",OPEN,53.3415,-6.25685
99,"City Quay",0,30,"CITY QUAY",OPEN,53.3466,-6.24615
100,"Heuston Bridge (South)",0,25,"HEUSTON BRIDGE (SOUTH)",OPEN,53.3471,-6.29204
101,"King Street North",0,30,"KING STREET NORTH",OPEN,53.3503,-6.27351
102,"Western Way",0,40,"WESTERN WAY",OPEN,53.3549,-6.26942
103,"Grangegorman Lower (South)",0,40,"GRANGEGORMAN LOWER (SOUTH)",OPEN,53.3547,-6.27868
104,"Grangegorman Lower (Central)",0,40,"GRANGEGORMAN LOWER (CENTRAL)",OPEN,53.3552,-6.27842
105,"Grangegorman Lower (North)",0,36,"GRANGEGORMAN LOWER (NORTH)",OPEN,53.356,-6.27838
106,"Rathdown Road",0,40,"RATHDOWN ROAD",OPEN,53.3589,-6.28034
107,"Charleville Road",0,40,"CHARLEVILLE ROAD",OPEN,53.3592,-6.28187
108,"Avondale Road",0,35,"AVONDALE ROAD",OPEN,53.3594,-6.27614
109,"Buckingham Street Lower",0,29,"BUCKINGHAM STREET LOWER",OPEN,53.3533,-6.24932
110,"Phibsborough Road",0,40,"PHIBSBOROUGH ROAD",OPEN,53.3563,-6.27372
111,"Mountjoy Square East",0,40,"MOUNTJOY SQUARE EAST",OPEN,53.3567,-6.25636
112,"North Circular Road (O'Connell's)",0,30,"NORTH CIRCULAR ROAD (O'CONNELL'S)",OPEN,53.3578,-6.25156
113,"Merrion Square South",0,40,"MERRION SQUARE SOUTH",OPEN,53.3386,-6.24861
114,"Wilton Terrace (Park)",0,40,"WILTON TERRACE (PARK)",OPEN,53.3337,-6.24834
115,"Killarney Street",0,30,"KILLARNEY STREET",OPEN,53.3548,-6.24758
116,Broadstone,0,30,BROADSTONE,OPEN,53.3547,-6.27231
117,"Hanover Quay East",0,40,"HANOVER QUAY EAST",OPEN,53.3437,-6.23175
